NAME,room type,price,review rate,house_rule,city,latitude,longitude
예포게스트하우스,호텔,0,4,,서울 중구,37.5617501,127.005708
오늘스테이,게스트하우스,0,3.5,,서울 서대문구,37.567299,126.9208983
오늘스테이 동대문점,민박,0,3,,서울 영등포구,37.5000278,126.9145897
오렌지큐브하우스,펜션,0,4.3,,서울 동대문구,37.5771284,127.0370118
오롯이한옥,게스트하우스,0,3.9,,서울 용산구,37.5546012,126.913746
오리엔스호텔&레지던스,한옥숙소,0,3.7,와이파이,서울 종로구,37.5800909,126.9681186
오월호텔,호텔,0,3.8,,서울 중구,37.5600616,126.9912064
오케이빌 게스트하우스,호텔,0,3.5,,서울 강남구,37.5010225,127.0417976
오크우드프리미어 코엑스센터,게스트하우스,0,3.7,"주차가능,예약가능",서울 종로구,37.5112404,126.9285068
와이즈하우스,호텔,0,3.9,,서울 강남구,37.5110213,127.0581061
욜로게스트하우스,게스트하우스,0,3.3,"예약가능,배달가능,와이파이",서울 마포구,37.5598873,126.9254959
웨스턴 코업호텔&레지던스,게스트하우스,0,4.1,,서울 마포구,37.5590594,126.9210272
웨스틴조선 서울,게스트하우스,0,4.2,"주차가능,예약가능",서울 중구,37.558999,126.985558
웰컴미스테익스하우스,호텔,0,5,"주차가능,예약가능,와이파이",서울 중구,37.5664239,127.0050439
위고인호스텔,호텔,0,4.8,"주차가능,휠체어사용,예약가능,와이파이",서울 중구,37.5650076,126.9796693
인휴당,한옥숙소,0,5,"예약가능,와이파이",서울 종로구,37.5917434,126.9632319
이브게스트하우스,유스호스텔,0,5,,서울 서대문구,,
이비스 스타일 앰배서더 서울 강남,숙박,0,3.5,"반려견동반,포장가능,배달가능,와이파이",서울 은평구,37.6413028,126.9391729
이비스 앰배서더 서울 명동,게스트하우스,0,3.8,"주차가능,휠체어사용,예약가능,와이파이",서울 중구,37.5584889,126.986296
이비스 앰배서더 서울 인사동,호텔,0,3.4,"주차가능,예약가능",서울 강남구,37.5027964,127.0587391
호텔이사벨,호텔,0,3,"주차가능,예약가능",서울 중구,37.5643473,126.9829236
이호소락,호텔,0,4,,서울 종로구,37.5742045,126.9885488
이화한옥 사직루,호텔,0,2.4,,서울 금천구,37.4748185,126.8938093
인게스트하우스,게스트하우스,0,3.4,,서울 종로구,37.5802421,126.9818694
스파크플러스 코엑스점,한옥숙소,0,2.6,"예약가능,와이파이",서울 종로구,37.5799564,126.9686534
임피리얼팰리스 부티크호텔,게스트하우스,0,3,주차가능,서울 마포구,37.5602372,126.9070586
자이언트호텔,공유오피스,0,4.5,,서울 강남구,37.5128251,127.0572645
자자백팩커스,호텔,0,3.3,,서울 용산구,37.5352908,126.9982368
자함헌,호텔,0,5,와이파이,서울 강남구,37.5136217,127.056755
호텔상주,게스트하우스,0,3.3,,서울 중구,37.5588171,126.9864491
제리스플래닛호텔,공간대여,0,2.2,,서울 은평구,37.6431297,126.9393014
